cn_title,en_title,strategy,comment,ranking,abstract
鼓浪屿,Gulangyu Island,849,31945,1,世界文化遗产，特色店铺众多，建筑漂亮，生活气息和文艺范儿并重。
曾厝垵,Zeng Cuo An Village,2031,5980,1,厦门文创新地标，美食与文化的激情碰撞，去寻找文艺外表下充满生命力的古朴村落。
厦门大学,Xiamen University,2307,12915,2,依山傍海，中西结合的独特建筑风格，被誉为中国最美的大学之一。
中山路步行街,Zhongshan Road Pedestrian Street,1244,3469,3,厦门地标式商业街，欣赏连排的骑楼式建筑，搜罗地道的闽南小吃，感受鹭岛的独特魅力。
环岛路,Huandao Road,1266,5586,6,享受海边骑行的快乐，边骑边看美丽风景。
顶澳仔猫街,Ding'aozai,0,51,0,
南普陀寺,South Putuo Temple,1480,5484,5,全国闻名的佛教寺院，寺内的素斋和素饼都获过奖，还可登高望远。
白城沙滩,Baicheng Beach,752,878,10,靠近厦大的免费沙滩，漫步、海边玩耍，这是天然的休闲公园。
厦门园林植物园,Xiamen Botanical Garden,335,2082,12,环境很好的植物园，有多种稀有植物景观，也适合周末爬山休闲。
沙坡尾避风坞,Shapowei Wind Shelter,290,310,7,
厦门双子塔,Xiamen Twin Towers,42,111,8,厦门新地标，登上55层观光厅，眺望鼓浪屿，俯瞰鹭岛风情。
椰风寨,Yefeng Village,201,288,18,很长的免费沙滩，游客不多，可以远眺金门岛。
黄厝海滨,Huangcuo Beach,116,320,63,厦门观海的极佳选择，环岛路上最天然、最干净的海滩。
钟鼓索道,Zhonggu Cableway,44,579,42,在高空中俯瞰厦门全景，在天然氧吧中任性遨游。
南华路文化吧一条街,Nanhualu Wenhua Ba Yi Tiao Street,25,70,28,
厦门科技馆,Xiamen Science and Technology Museum,89,778,14,可以带孩子来这里感受新科技带来的乐趣，开拓孩子们的视野。
日光岩,Sunlight Rock,375,4156,3,鼓浪屿的最佳观景点，从上而下俯视鼓浪屿全岛及厦门市区景象。
集美大学,Jimei University,73,160,32,
集美学村,Jimeixue Village,298,997,16,风格中西合璧的大学城，可以在校园里感受浓重的学术氛围。
最美转角,Most Beautiful Corner,0,14,0,
沙坡尾艺术西区,Shapowei Art Zone West District,77,97,3,
胡里山炮台,Hulishan Fort,561,3006,11,这里有着大大小小的炮台，带你走近并了解那段历史。
厦门海底世界,Xiamen Underwater World,52,1060,2,有迄今为止中国发现最大的抹香鲸骨架。
风琴博物馆,Organ Museum,138,776,14,在音乐之岛鼓浪屿逛风琴博物馆，看各种复古的风琴。
菽庄花园,Xinzhuang Garden,298,2398,7,看闽南风格融合西洋色彩的园林景观。这里也有很好的观海点。
珍珠湾,Pearl Bay,118,238,86,沙细水清，还有轻风拂面，来到海边千万不要错过这个沙滩浴场。
一国两制沙滩,One Country Two Systems Sand Beach,3,9,128,
天竺山森林公园,Tianzhu Mountain Forest Park,6,132,137,来“厦门后花园”亲近自然，感受绿意盎然的山林风光，欣赏澄澈镜面的湖水倒影。
闽南古镇,Minnan Ancient Town,1,41,52,
观音山,Mount Guanyin,74,50,26,
松柏公园,Songbai Park,1,80,156,
万国建筑博览,World Architecture Expo,30,438,17,各种风格各异、中西合壁的中外建筑非常值得一看。
黄厝沙滩,Huangcuo Beach,47,53,39,
皓月园,Haoyue Garden,191,1269,18,看郑成功巨型石像，纪念人民英雄。
演武大桥,Yanwu Bridge,117,130,176,
蔡尖尾山公园,Caijianwei Mountain Park,0,8,204,
琴园,Qinyuan Garden,43,295,31,鼓浪屿核心景点之一，百鸟园就在这个景区内。
大德记浴场,Dadeji Bathing,10,27,3,
厦门南顺鳄鱼园,Nanshun Crocodile Park,0,4,0,
